pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190325,3006,NH,0.0,25.29,-25.29,0.0,0.0,0.0,2019-03-25,Nuevo Horizonte
20190325,3702,SH,455.9,451.38,4.52,110.09,108.87027,1.21973,2019-03-25,Shanuzi
20190326,3002,PW,1006.63,898.15,108.48,240.0,214.57872,25.42128,2019-03-26,Palmawasi
20190326,3006,NH,93.795,0.0,93.795,21.82,3.60137,18.21863,2019-03-26,Nuevo Horizonte
20190326,3702,SH,790.55,782.27,8.28,192.346,190.21492,2.13108,2019-03-26,Shanuzi
20190327,3002,PW,1077.0,916.85,160.15,244.66,218.74512,25.91488,2019-03-27,Palmawasi
20190327,3006,NH,274.38,0.0,274.38,66.7,11.00878,55.69122,2019-03-27,Nuevo Horizonte
20190327,3702,SH,1113.28,1109.31,3.97,269.741,266.75244,2.98856,2019-03-27,Shanuzi
20190328,3002,PW,873.07,793.49,79.58,200.0,178.8156,21.1844,2019-03-28,Palmawasi
20190328,3006,NH,280.48,32.84,247.64,66.18,10.92296,55.25704,2019-03-28,Nuevo Horizonte
20190328,3702,SH,669.3,658.53,10.77,161.9,160.10625,1.79375,2019-03-28,Shanuzi
20190329,3002,PW,1009.91,895.95,113.96,234.36,209.53612,24.82388,2019-03-29,Palmawasi
20190329,3006,NH,293.49,39.4,254.09,68.94,11.37849,57.56151,2019-03-29,Nuevo Horizonte
20190329,3702,SH,993.95,978.39,15.56,240.769,238.10143,2.66757,2019-03-29,Shanuzi
20190330,3002,PW,983.13,846.25,136.88,220.0,196.69716,23.30284,2019-03-30,Palmawasi
20190330,3006,NH,234.89,38.37,196.52,60.65,10.01023,50.63977,2019-03-30,Nuevo Horizonte
20190330,3702,SH,984.54,972.34,12.2,237.806,235.17126,2.63474,2019-03-30,Shanuzi
20190331,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-31,Palmawasi
20190331,3702,SH,444.54,444.54,0.0,107.626,106.43357,1.19243,2019-03-31,Shanuzi
20190401,3002,PW,614.44,545.61,68.83,152.0,136.38037,15.61963,2019-04-01,Palmawasi
20190401,3006,NH,151.44,18.41,133.03,35.35,5.99208,29.35792,2019-04-01,Nuevo Horizonte
20190401,3702,SH,780.85,755.31,25.54,188.293,185.5901,2.7029,2019-04-01,Shanuzi
20190402,3002,PW,980.81,893.24,87.57,245.0,219.82362,25.17638,2019-04-02,Palmawasi
