FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-03-16,Palmawasi,34.0,3000.0,129.0,0.0,0.0,82.0,17.0,615988.24974,30893.0
2022-03-16,Shanuzi,,,,,,,,895585.16923,59983.0
2022-03-17,Nuevo Horizonte,,,,,,,,17651.14772,1163.0
2022-03-17,Palmawasi,39.0,2431.0,87.0,0.0,0.0,74.0,41.0,696888.1827499999,33319.0
2022-03-17,Shanuzi,,,,,,,,940473.7913299999,64318.0
2022-03-18,Nuevo Horizonte,,,,,,,,19666.00113,1285.0
2022-03-18,Palmawasi,51.0,3139.0,142.0,1.0,0.0,90.0,28.0,773113.56838,37809.0
2022-03-18,Shanuzi,,,,,,,,902866.75954,61619.0
2022-03-19,Nuevo Horizonte,,,,,,,,19895.56535,1300.0
2022-03-19,Palmawasi,14.0,1887.0,146.0,0.0,0.0,49.0,20.0,704485.4421,34018.0
2022-03-19,Shanuzi,,,,,,,,813564.52188,56592.0
2022-03-20,Shanuzi,,,,,,,,194058.0458,13040.0
2022-03-21,Nuevo Horizonte,,,,,,,,20359.65566,1337.0
2022-03-21,Palmawasi,40.0,2300.0,94.0,0.0,0.0,64.0,23.0,646369.15661,30912.0
2022-03-21,Shanuzi,,,,,,,,731947.58602,51001.0
2022-03-22,Nuevo Horizonte,,,,,,,,20215.58124,1317.0
2022-03-22,Palmawasi,40.0,3564.0,105.0,0.0,0.0,85.0,26.0,665659.74217,31681.0
2022-03-22,Shanuzi,,,,,,,,862279.84411,59579.0
2022-03-23,Nuevo Horizonte,,,,,,,,25057.60097,1636.0
2022-03-23,Palmawasi,86.0,2742.0,183.0,0.0,0.0,69.0,23.0,743538.23223,35219.0
2022-03-23,Shanuzi,,,,,,,,987374.7203299999,69030.0
2022-03-24,Nuevo Horizonte,,,,,,,,23938.5981,1564.0
2022-03-24,Palmawasi,41.0,2197.0,139.0,1.0,0.0,63.0,16.0,669436.38611,32496.0
2022-03-24,Shanuzi,,,,,,,,774898.6403000001,54181.0
2022-03-25,Nuevo Horizonte,,,,,,,,19453.93748,1271.0
2022-03-25,Palmawasi,,,,,,,,664620.76138,32019.0
2022-03-25,Shanuzi,,,,,,,,818052.43454,58559.0
2022-03-26,Nuevo Horizonte,,,,,,,,19068.11506,1245.0
2022-03-26,Palmawasi,,,,,,,,675785.53313,31913.0
2022-03-26,Shanuzi,,,,,,,,783799.49892,56578.0
2022-03-27,Shanuzi,,,,,,,,203845.13530999998,14437.0
2022-03-28,Nuevo Horizonte,,,,,,,,17962.9716,1197.0
2022-03-28,Palmawasi,11.0,729.0,18.0,0.0,0.0,13.0,6.0,286279.52501,14461.0
2022-03-28,Shanuzi,,,,,,,,728690.15772,51240.0
2022-03-29,Nuevo Horizonte,,,,,,,,20723.85936,1368.0
2022-03-29,Palmawasi,47.0,2681.0,78.0,0.0,0.0,63.0,7.0,694269.71669,33648.0
2022-03-29,Shanuzi,,,,,,,,807196.5249900001,57278.0
2022-03-30,Nuevo Horizonte,,,,,,,,22265.41019,1463.0
2022-03-30,Palmawasi,65.0,2725.0,202.0,0.0,0.0,98.0,37.0,651381.41766,31036.0
2022-03-30,Shanuzi,,,,,,,,854258.30177,61624.0
2022-03-31,Nuevo Horizonte,,,,,,,,14716.781760000002,967.0
2022-03-31,Palmawasi,29.0,1914.0,112.0,0.0,0.0,68.0,19.0,638837.51998,31532.0
2022-03-31,Shanuzi,,,,,,,,809009.71185,59560.0
2022-04-01,Nuevo Horizonte,,,,,,,,16927.24428,1113.0
2022-04-01,Palmawasi,38.0,2779.0,140.0,0.0,0.0,59.0,21.0,657623.06017,31887.0
2022-04-01,Shanuzi,,,,,,,,577148.81609,42640.0
2022-04-02,Nuevo Horizonte,,,,,,,,14311.35388,941.0
2022-04-02,Palmawasi,25.0,2127.0,115.0,0.0,0.0,66.0,7.0,593141.39637,28366.0
2022-04-02,Shanuzi,,,,,,,,111225.35524,6769.0
2022-04-04,Nuevo Horizonte,,,,,,,,17629.17918,1235.0
2022-04-04,Palmawasi,67.0,2694.0,138.0,6.0,0.0,101.0,21.0,568190.92434,27670.0
2022-04-04,Shanuzi,,,,,,,,268021.04926,16988.0
2022-04-05,Nuevo Horizonte,,,,,,,,19099.46699,1338.0
2022-04-05,Palmawasi,43.0,1637.0,95.0,0.0,0.0,59.0,20.0,623348.56483,31698.0
2022-04-05,Shanuzi,,,,,,,,615928.87539,42994.0
2022-04-06,Nuevo Horizonte,,,,,,,,22255.60825,1438.0
2022-04-06,Palmawasi,41.0,1562.0,23.0,0.0,0.0,35.0,8.0,643212.99269,32289.0
2022-04-06,Shanuzi,,,,,,,,697802.47583,50942.0
2022-04-07,Nuevo Horizonte,,,,,,,,21915.11907,1416.0
2022-04-07,Palmawasi,61.0,2995.0,159.0,0.0,0.0,96.0,19.0,569231.07311,27412.0
2022-04-07,Shanuzi,,,,,,,,824212.33239,59285.0
2022-04-08,Nuevo Horizonte,,,,,,,,27579.62023,1782.0
2022-04-08,Palmawasi,44.0,2101.0,152.0,0.0,0.0,90.0,23.0,536472.44656,24957.0
2022-04-08,Shanuzi,,,,,,,,856508.82382,61603.0
2022-04-09,Nuevo Horizonte,,,,,,,,20982.19895,1398.0
2022-04-09,Palmawasi,38.0,1848.0,48.0,0.0,0.0,42.0,8.0,541724.86819,26975.0
2022-04-09,Shanuzi,,,,,,,,646855.23309,41822.0
2022-04-10,Shanuzi,,,,,,,,124661.48966,9050.0
2022-04-11,Nuevo Horizonte,,,,,,,,13201.47494,905.0
2022-04-11,Palmawasi,34.0,2411.0,145.0,0.0,0.0,90.0,14.0,488367.45493,23877.0
2022-04-11,Shanuzi,,,,,,,,752669.75079,50967.0
2022-04-12,Nuevo Horizonte,,,,,,,,21202.99623,1448.0
2022-04-12,Palmawasi,37.0,1149.0,56.0,0.0,0.0,36.0,7.0,565119.88593,27947.0
2022-04-12,Shanuzi,,,,,,,,834864.0142099999,59156.0
2022-04-13,Nuevo Horizonte,,,,,,,,24255.21636,1688.0
2022-04-13,Palmawasi,75.0,2152.0,75.0,0.0,0.0,61.0,17.0,588469.03697,29193.0
2022-04-13,Shanuzi,,,,,,,,918920.94757,66182.0
2022-04-14,Nuevo Horizonte,,,,,,,,26766.8745,1778.0
2022-04-14,Palmawasi,34.0,2438.0,125.0,0.0,0.0,59.0,24.0,539190.56265,28518.0
2022-04-14,Shanuzi,,,,,,,,882186.08076,61228.0
2022-04-18,Nuevo Horizonte,,,,,,,,20452.05012,1329.0
2022-04-18,Palmawasi,45.0,2249.0,248.0,0.0,0.0,80.0,32.0,552615.98129,28577.0
